filename,format,tool,n_components,source_path
69df3d87e9435a9ed2c1ef3976d527da04b50d0b,CycloneDX-JSON,cdxgen,43,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\6\69df3d87e9435a9ed2c1ef3976d527da04b50d0b
25ff98e6e79b1abf29841645f92700464fd9d7dd,CycloneDX-JSON,cdxgen,278,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\2\25ff98e6e79b1abf29841645f92700464fd9d7dd
6c3bc5dc2bde54a19fb2fb89b21b4cd92480ae29,CycloneDX-JSON,cyclonedx-gomod,26,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\6\6c3bc5dc2bde54a19fb2fb89b21b4cd92480ae29
d322ae2f450d3f65d45294133e9a59096b64ac82,CycloneDX-XML,unknown,99,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\d\d322ae2f450d3f65d45294133e9a59096b64ac82
e4570829e3b5476deaf351d356f5dcf6ca97df68,CycloneDX-JSON,cyclonedx-gomod,35,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\e\e4570829e3b5476deaf351d356f5dcf6ca97df68
c4248abd0c5b2d18ea4c144ed3cae1709172ee07,CycloneDX-JSON,cyclonedx-gomod,23,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\c\c4248abd0c5b2d18ea4c144ed3cae1709172ee07
844675d19359ac947952f9afba9588c28fa3dd14,CycloneDX-JSON,CycloneDX module for .NET,10,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\8\844675d19359ac947952f9afba9588c28fa3dd14
1b14901fffab9265885f5c4f536fd122bccc0fa7,CycloneDX-JSON,cyclonedx-gomod,241,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\1\1b14901fffab9265885f5c4f536fd122bccc0fa7
208b72560a20100e783327d6c28fa5cb8ad02f8a,CycloneDX-JSON,Node.js module,12,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\2\208b72560a20100e783327d6c28fa5cb8ad02f8a
cf95d5d49ea0eec99cbb2d9438faf471b0ca3fc0,CycloneDX-JSON,syft,456,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\c\cf95d5d49ea0eec99cbb2d9438faf471b0ca3fc0
b5ea7dda4125425f8eebae629abab9a885846d00,CycloneDX-JSON,Node.js module,21,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\b\b5ea7dda4125425f8eebae629abab9a885846d00
dd5fc6bd344a87cacde9da6e22b4bff4f8ab54fd,CycloneDX-JSON,cyclonedx-php-composer,142,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\d\dd5fc6bd344a87cacde9da6e22b4bff4f8ab54fd
d826500e92e5d4c10818b93a1bd1536d50592b16,CycloneDX-JSON,cdxgen,7,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\d\d826500e92e5d4c10818b93a1bd1536d50592b16
2343570e185293649e48aaae64ec46765389cf8e,CycloneDX-JSON,cdxgen,35,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\2\2343570e185293649e48aaae64ec46765389cf8e
4f1eb6e01ae0867552a33e254dca021b87ec6568,CycloneDX-JSON,Node.js module,54,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\4\4f1eb6e01ae0867552a33e254dca021b87ec6568
83a68d1e9961a1a8137caccda27ad6f3f361786f,SPDX-JSON,syft,1253,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\8\83a68d1e9961a1a8137caccda27ad6f3f361786f
e6fdb6d30addb0df68b40625f010731b55f152c0,CycloneDX-JSON,Gemnasium,34,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\e\e6fdb6d30addb0df68b40625f010731b55f152c0
fe20be77a62c5a7f5c5abf064e790b02d9a41fc5,SPDX-JSON,syft,159,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\f\fe20be77a62c5a7f5c5abf064e790b02d9a41fc5
7f0640d9f576a773934f722ff49b7468f313641b,CycloneDX-JSON,cdxgen,230,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\7\7f0640d9f576a773934f722ff49b7468f313641b
e25e6b9a5d23644b3ecf6bbb24950d4c33e188a9,CycloneDX-JSON,Node.js module,691,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\e\e25e6b9a5d23644b3ecf6bbb24950d4c33e188a9
90ddb18612929171e0f8840c7e9b169b8326404c,SPDX-JSON,syft,1609,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\9\90ddb18612929171e0f8840c7e9b169b8326404c
b1ccf5bbdad44870b15c5b549a15c1b2ebe60f93,SPDX-JSON,syft,541,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\b\b1ccf5bbdad44870b15c5b549a15c1b2ebe60f93
fed84722038e0253f05de3aac70429e14c28ffc0,CycloneDX-JSON,cdxgen,22,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\f\fed84722038e0253f05de3aac70429e14c28ffc0
149353fa3a52b5506139f06f01303a7a7b9ed5b3,SPDX-JSON,syft,44,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\1\149353fa3a52b5506139f06f01303a7a7b9ed5b3
3b567160693bb283d24c891f0b3a791bc2657693,CycloneDX-JSON,cyclonedx-php-composer,80,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\3\3b567160693bb283d24c891f0b3a791bc2657693
2e1bcf5c340f8df877382d7ff770c29a9d3c0168,CycloneDX-JSON,cyclonedx-php-composer,1193,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\2\2e1bcf5c340f8df877382d7ff770c29a9d3c0168
f6744be6a0de1c77b18b5f4124b519821a01c544,CycloneDX-JSON,cdxgen,157,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\f\f6744be6a0de1c77b18b5f4124b519821a01c544
ee96582310f4a8874d2ba073a34a3ec8082fbd00,CycloneDX-JSON,cdxgen,9,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\e\ee96582310f4a8874d2ba073a34a3ec8082fbd00
86a75965bfcdfc8817a7bc59ef76b8ee7ce3be5e,SPDX-JSON,syft,50,C:\Users\hkana\Downloads\sbom-cra-research\data\raw\8\86a75965bfcdfc8817a7bc59ef76b8ee7ce3be5e
