filename,format,tool,n_components,B1_result,B1_score,B1_detail,B2_result,B2_score,B2_detail,B3_result,B3_score,B3_detail,B4_result,B4_score,B4_detail
00046fe27ff99b259a5765ed2842b17b5075a968,CycloneDX-JSON,cyclonedx-gomod,84,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 1 EOL, 29 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
000540bb222ce9ccbbd8a3f9f71a3b83b4859d47,CycloneDX-JSON,cyclonedx-php-composer,36,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,PARTIAL,0.967,29/30 license IDs are valid SPDX; invalid examples: BSD
001baa3eb79a0e698f77c6b2cfe88c9cc2bf0d79,CycloneDX-JSON,Github Extractor,20,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 1 EOL, 19 unknown (of 20 checked)",PASS,1.0,15/15 PURLs resolved successfully,PARTIAL,0.214,"3/14 license IDs are valid SPDX; invalid examples: GPLv2, Python Software Foundation License, BSD"
002dccc13b740f6d16f1cf1c56a996f29bbcdb22,CycloneDX-JSON,trivy,138,PASS,1.0,20/20 CVE IDs confirmed via OSV.dev,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
003105d9006bbbab6f24f898ec4e935bb5c9b8ca,CycloneDX-JSON,cyclonedx-php-composer,25,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 18 unknown (of 18 checked)",PASS,1.0,15/15 PURLs resolved successfully,PARTIAL,0.619,"13/21 license IDs are valid SPDX; invalid examples: Apache 2.0, Python Software Foundation License, Copyright C 2001-2005 by Vinay Sajip. All Rights Reserved. See LICENSE for license."
003589bd7973c0ebceba7053d0aa560f3bd37b74,CycloneDX-JSON,cyclonedx-gomod,149,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 1 EOL, 29 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
003bcca294c878addca9b677bbdc099165b8318d,CycloneDX-JSON,cdxgen,14,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/14 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
004395a7b1fce8118fd247c40584ee1f1a895188,CycloneDX-JSON,cdxgen,10,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 2 EOL, 8 unknown (of 10 checked)",PASS,1.0,10/10 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
0048b8719e866ca1140631326dee5631b53f123b,CycloneDX-JSON,cdxgen,44,SKIP,0.0,No vulnerabilities declared — A8 failed,PARTIAL,0.25,"1 supported, 3 EOL, 26 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PARTIAL,0.333,10/30 license IDs are valid SPDX; invalid examples: BSD
004a413825bd4c22de69ead69998672565324e9b,CycloneDX-JSON,cyclonedx-gomod,12,SKIP,0.0,No vulnerabilities declared — A8 failed,PASS,1.0,"1 supported, 0 EOL, 10 unknown (of 11 checked)",PASS,1.0,12/12 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
0055af053b1237a60fa957aedae260338998e268,CycloneDX-JSON,cdxgen,1669,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,PARTIAL,0.917,11/12 license IDs are valid SPDX; invalid examples: new BSD License
005a6aa0a5a6374fff093e004d57820c7c7b1d87,CycloneDX-XML,unknown,99,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 30 unknown (of 30 checked)",PASS,1.0,15/15 PURLs resolved successfully,SKIP,0.0,No license data to validate — A11 failed
005e532b0556d5e2c71aa2cb7b88a55bc129615e,CycloneDX-JSON,cyclonedx-php-composer,140,SKIP,0.0,No vulnerabilities declared — A8 failed,SKIP,0.0,No components with mappable ecosystem/version,FAIL,0.0,0/15 PURLs resolved successfully,PASS,1.0,30/30 license IDs are valid SPDX
008bc7c8b60bfbd6494580e2d831d079acb5ff78,CycloneDX-JSON,cyclonedx-php-composer,17,SKIP,0.0,No vulnerabilities declared — A8 failed,FAIL,0.0,"0 supported, 0 EOL, 9 unknown (of 9 checked)",PARTIAL,0.533,8/15 PURLs resolved successfully,PARTIAL,0.714,"10/14 license IDs are valid SPDX; invalid examples: ZPL 2.1, BSD, Python Software Foundation License"
