Check,Group,N_scored,N_pass,Pass_rate,CI_lower,CI_upper
A1,NTIA,4850,4848,100.0,99.8,100.0
A2,NTIA,4850,4317,89.0,88.1,89.9
A3,NTIA,4850,187,3.9,3.3,4.4
A4,NTIA,4850,4398,90.7,89.8,91.5
A5,NTIA,4999,2257,45.1,43.8,46.5
A6,NTIA,4999,4977,99.6,99.3,99.7
A7,NTIA,4999,3424,68.5,67.2,69.8
A8,CRA,4999,171,3.4,3.0,4.0
A9,Conditional,16,12,75.0,50.5,89.8
A10,Conditional,4850,400,8.2,7.5,9.1
A11,Conditional,4850,724,14.9,14.0,16.0
A12,NTIA,4999,4999,100.0,99.9,100.0
A13,NTIA,4999,4824,96.5,96.0,97.0
B1,Conditional,16,12,75.0,50.5,89.8
B2,CRA,3510,77,2.2,1.8,2.7
B3,Conditional,4761,2982,62.6,61.3,64.0
B4,Conditional,3003,1171,39.0,37.3,40.8
C1,CRA,4999,424,8.5,7.7,9.3
C2,CRA,4999,269,5.4,4.8,6.0
